H,S,V,Class
174.4816176470588,138.60845588235293,212.00551470588235,r
126.73426966292135,120.75674157303371,217.82303370786516,v
174.75632183908047,132.33563218390805,214.08199233716476,r
174.20289855072463,138.55797101449275,211.6141304347826,r
126.6938202247191,120.72247191011236,218.19719101123596,v
174.6176245210728,133.49425287356323,214.55938697318007,r
174.25,138.95955882352942,211.9816176470588,r
126.94444444444444,120.36315789473684,218.01637426900584,v
174.73103448275862,132.63601532567048,214.24137931034483,r
174.21323529411765,138.73345588235293,211.56801470588235,r
126.95944444444444,120.52055555555556,218.30388888888888,v
174.75325670498086,132.4505747126437,213.91877394636015,r
174.55,137.39464285714286,211.67142857142858,r
126.87894736842105,120.59766081871345,218.0421052631579,v
174.8439393939394,131.76818181818183,213.85757575757575,r
174.3933823529412,138.31985294117646,211.65257352941177,r
126.76944444444445,120.38555555555556,217.7211111111111,v
174.50421455938698,133.19386973180076,214.29885057471265,r
173.97101449275362,138.56159420289856,211.6322463768116,r
126.76555555555555,120.24555555555555,217.82944444444445,v
174.632183908046,132.61455938697318,214.00459770114944,r
174.44485294117646,138.03860294117646,211.6433823529412,r
126.88771929824561,120.5421052631579,218.10760233918128,v
174.7256704980843,132.2735632183908,213.94712643678162,r
174.21875,138.69669117647058,211.7683823529412,r
126.88888888888889,120.31520467836258,217.959649122807,v
174.69885057471265,132.59693486590038,214.22758620689655,r
174.4889705882353,138.65257352941177,212.10110294117646,r
126.90877192982457,120.90643274853801,218.41929824561404,v
174.6231527093596,133.5353037766831,214.2183908045977,r
174.37021927587966,136.77675840978594,211.80275229357798,r
175.01800327332242,138.6783960720131,214.84779050736498,r
173.57272727272726,132.55454545454546,213.23181818181817,r
174.40073529411765,138.2610294117647,211.56985294117646,r
126.77719298245614,119.5953216374269,217.61637426900586,v
174.8735632183908,132.0337164750958,213.99080459770116,r
99.96938775510205,11.483333333333333,170.03333333333333,x
175.51760299625468,136.6059925093633,212.68539325842696,r
7.135947712418301,106.1686274509804,180.04967320261437,z
49.987730061349694,12.295,174.99,x
175.61797752808988,136.4311797752809,212.6573033707865,r
6.790849673202614,105.6640522875817,180.37908496732027,z
50.353932584269664,12.785714285714286,175.0095238095238,x
175.6509831460674,136.25702247191012,212.37359550561797,r
6.576470588235294,104.5035294117647,180.08352941176472,z
77.625,11.708333333333334,178.375,x
175.4378074490513,137.1130617977528,212.5807584269663,r
6.687058823529412,104.79294117647059,179.9329411764706,z
88.3076923076923,12.347619047619048,174.86190476190475,x
175.56041666666667,136.0638888888889,212.26458333333332,r
6.554117647058823,105.09294117647059,180.37058823529412,z
54.853658536585364,12.038095238095238,174.67619047619047,x
175.36025280898878,136.72120786516854,212.31390449438203,r
6.673202614379085,104.78823529411764,179.837908496732,z
37.741573033707866,13.019047619047619,174.9047619047619,x
175.37977528089888,136.33857677902623,212.238202247191,r
6.798692810457516,105.23529411764706,179.88496732026144,z
95.0505617977528,12.323809523809524,174.74761904761905,x
175.50772471910113,136.6046348314607,212.4683988764045,r
6.509411764705883,104.29529411764706,180.19176470588235,z
82.33333333333333,12.871428571428572,174.78571428571428,x
175.31390449438203,136.9936797752809,212.54002808988764,r
6.866666666666666,104.71895424836602,179.76601307189543,z
173.94158553546592,136.85324074074074,212.1851851851852,r
175.05526315789473,138.3640350877193,214.4842105263158,r
173.5909090909091,132.57954545454547,213.40227272727273,r
69.71910112359551,12.980582524271844,175.41747572815535,x
175.5751404494382,136.74859550561797,212.59129213483146,r
6.827450980392157,105.03398692810458,179.93725490196078,z
51.135458167330675,11.82857142857143,173.92380952380952,x
175.4986111111111,135.96597222222223,212.29166666666666,r
6.529411764705882,104.08235294117647,179.91764705882352,z
72.58163265306122,13.447619047619048,175.0952380952381,x
175.51111111111112,135.87291666666667,212.25972222222222,r
6.537254901960784,104.79607843137255,180.30980392156863,z
70.13846153846154,12.746478873239436,178.6338028169014,x
175.2935393258427,137.15308988764045,212.63553370786516,r
6.595294117647059,104.60235294117648,180.24117647058824,z
63.8,12.057142857142857,174.58095238095237,x
175.41041666666666,136.41180555555556,212.63888888888889,r
6.869281045751634,105.6470588235294,180.04967320261437,z
49.68539325842696,13.2,175.04761904761904,x
175.54002808988764,136.8806179775281,212.6011235955056,r
6.7305882352941175,105.02941176470588,180.26,z
57.859550561797754,12.35576923076923,174.94230769230768,x
175.57724719101122,136.50210674157304,212.43047752808988,r
6.864052287581699,105.67843137254901,180.30718954248366,z
74.87564766839378,12.957142857142857,175.1238095238095,x
175.5375,136.37569444444443,212.58680555555554,r
7.1647058823529415,106.1124183006536,179.91895424836602,z
78.29885057471265,12.217105263157896,173.76973684210526,x
175.29283707865167,136.7134831460674,212.47120786516854,r
6.5988235294117645,104.62705882352941,180.03176470588235,z
39.823232323232325,13.128571428571428,174.73333333333332,x
175.35208333333333,136.26458333333332,212.32361111111112,r
6.710588235294118,104.93411764705883,180.14470588235295,z
174.35684860968075,137.2664609053498,212.20010288065845,r
174.97545008183306,138.89034369885434,214.828968903437,r
173.48181818181817,132.3909090909091,213.05227272727274,r
76.29113924050633,12.70103092783505,173.77319587628867,x
175.43472222222223,136.19097222222223,212.38958333333332,r
6.848366013071895,105.2392156862745,179.99607843137255,z
60.55952380952381,11.435897435897436,173.93589743589743,x
175.55355805243445,137.28314606741574,211.3737827715356,r
6.948320413436693,104.87467700258398,178.59431524547804,z
85.7381974248927,10.256410256410257,173.67307692307693,x
175.3314606741573,137.12640449438203,211.15379213483146,r
7.0852713178294575,104.70801033591731,178.49483204134367,z
77.04330708661418,11.490384615384615,173.81410256410257,x
175.49789325842696,136.73595505617976,211.10393258426967,r
7.055555555555555,104.45607235142118,178.2894056847545,z
82.05357142857143,8.992753623188406,172.85507246376812,x
175.47715355805244,137.00823970037453,210.84044943820226,r
6.996168582375479,104.80970625798211,178.3052362707535,z
82.41428571428571,11.363333333333333,173.37333333333333,x
175.44592696629215,136.5442415730337,210.65308988764045,r
7.138242894056847,106.04263565891473,179.01033591731266,z
40.166666666666664,11.790476190476191,174.42857142857142,x
175.4689138576779,137.0501872659176,211.03670411985019,r
6.875968992248062,104.65116279069767,178.54909560723513,z
54.81637168141593,10.634615384615385,173.63076923076923,x
175.31535580524346,137.10187265917602,210.81573033707866,r
6.6434108527131785,103.88630490956072,178.62273901808786,z
61.88086642599278,11.115384615384615,173.875,x
175.63974719101122,136.5807584269663,211.02879213483146,r
6.910600255427842,104.22605363984674,178.29501915708812,z
174.4619512195122,136.7295321637427,211.843567251462,r
175.05762411347519,138.69060283687944,214.82535460992906,r
173.91590909090908,131.9340909090909,213.22727272727272,r
92.44578313253012,8.273504273504274,169.84615384615384,x
175.51760299625468,136.41123595505618,210.47340823970038,r
7.144316730523627,105.26564495530013,178.44955300127714,z
97.66666666666667,8.25,170.1,x
175.43295880149813,137.31535580524346,211.12059925093632,r
6.673441734417344,104.40108401084011,179.72357723577235,z
124.77777777777777,9.968992248062015,172.54263565891472,x
175.40941011235955,137.00702247191012,211.26123595505618,r
7.021419009370817,104.62784471218207,179.10843373493975,z
75.16731517509727,11.163461538461538,173.79807692307693,x
175.4620786516854,136.99578651685394,211.13553370786516,r
7.343550446998723,104.75223499361431,177.89144316730523,z
62.7907949790795,11.26923076923077,174.0897435897436,x
175.4192415730337,137.06039325842696,211.1931179775281,r
7.164082687338501,104.17054263565892,178.0284237726098,z
65.2934131736527,8.968253968253968,177.02380952380952,x
175.38277153558053,137.40074906367042,211.1198501872659,r
6.892764857881137,104.39793281653746,178.5439276485788,z
92.58677685950413,11.185897435897436,173.7403846153846,x
175.5236111111111,136.50625,210.91805555555555,r
6.93574297188755,104.18741633199464,178.81124497991968,z
102.57843137254902,9.089430894308943,171.08943089430895,x
175.43820224719101,136.89138576779027,210.74007490636703,r
7.03359173126615,104.1576227390181,178.09431524547804,z
63.41558441558441,9.848958333333334,177.44270833333334,x
175.51544943820224,136.72823033707866,210.92064606741573,r
6.867007672634271,103.97190293742018,178.16091954022988,z
173.70032124827904,136.76192660550458,211.9334862385321,r
174.8945035460993,138.99024822695034,214.7668439716312,r
173.67727272727274,132.19772727272726,213.23636363636365,r
69.48305084745763,10.826190476190476,173.22142857142856,x
175.63520599250936,136.6629213483146,210.90936329588015,r
7.08656330749354,104.49870801033592,178.43410852713177,z
6.520325203252033,96.886,169.351,z
135.41185897435898,28.403044871794872,116.01522435897436,k
175.30925324675326,142.8068181818182,214.10876623376623,r
6.893158388003749,97.40309372156506,170.10646041856234,z
135.90283400809716,28.049392712550606,114.89716599190284,k
175.2637987012987,143.02597402597402,214.11282467532467,r
7.5696902654867255,97.66160520607376,170.3709327548807,z
136.2582995951417,27.131983805668018,115.7327935222672,k
175.35714285714286,142.46428571428572,214.00405844155844,r
7.8784757981462405,97.36091724825523,169.78265204386838,z
134.93322062552832,28.721048182586642,110.85629754860524,k
175.20373376623377,142.42126623376623,213.85876623376623,r
8.088913282107574,97.08888888888889,170.18686868686868,z
136.29541734860885,29.0139116202946,114.90671031096564,k
175.14366883116884,143.04707792207793,214.13555194805195,r
9.48159509202454,97.18036072144288,169.78557114228457,z
136.6582995951417,29.076113360323887,116.20404858299595,k
175.36276223776224,142.46328671328672,213.95541958041957,r
7.754491017964072,96.48054474708171,170.6147859922179,z
132.2540064102564,26.837339743589745,115.74599358974359,k
175.2784090909091,142.64366883116884,213.90503246753246,r
